Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,
1,W6PW,145.150000,-,0.600000,DTCS,88.5,88.5,664,NN,Auto,5.00,,"Daly City, Sutro Tower",,,,
2,W6TP,146.790000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,San Francisco,,,,
3,W6PW,147.105000,+,0.600000,,88.5,88.5,023,NN,DV,5.00,,San Francisco,CQCQCQ,,,
4,WA6GG,224.220000,-,1.600000,Tone,100.0,88.5,023,NN,FM,5.00,,San Francisco,,,,
5,W6TP,224.500000,-,1.600000,Tone,114.8,88.5,023,NN,FM,5.00,,San Francisco,,,,
6,KA6TGI,224.520000,-,1.600000,Tone,67.0,88.5,023,NN,FM,5.00,,San Francisco,,,,
7,K6HN,440.600000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,South San Francisco,,,,
8,K6DNA,441.250000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,South San Francisco,,,,
9,W6EE,441.450000,+,5.000000,Tone,85.4,88.5,023,NN,FM,5.00,,San Francisco,,,,
10,WA6GG,442.050000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,"San Francisco, Twin Peaks",,,,
11,N6MVT,442.075000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,"San Francisco, Downtown",,,,
12,N6MNV,442.700000,+,5.000000,Tone,173.8,88.5,023,NN,FM,5.00,,South San Francisco,,,,
13,W6TP,443.100000,+,5.000000,DTCS,88.5,88.5,114,NN,FM,5.00,,San Francisco,,,,
14,K6MSR,443.675000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,San Francisco,,,,
15,KG6TN,443.925000,+,5.000000,Tone,136.5,88.5,023,NN,FM,5.00,,South San Francisco,,,,
16,W6PW,444.225000,+,5.000000,DTCS,88.5,88.5,664,NN,Auto,5.00,,"San Francisco , VA Hospital",,,,
17,K6KYA,444.850000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,San Francisco,,,,
18,KB6LCS,444.925000,+,5.000000,Tone,136.5,88.5,023,NN,FM,5.00,,San Francisco,,,,
19,KA6TGI,1284.900000,-,20.000000,Tone,67.0,88.5,023,NN,FM,5.00,,San Francisco,,,,
