Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,
0,,146.010000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,N6ZX,145.370000,-,0.600000,Tone,107.2,88.5,023,NN,Auto,5.00,,Woodside,,,,
3,WB5NVN,146.085000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,Portola Valley,,,,
4,KE6MNJ,146.625000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,Pescadero,,,,
5,W6SCF,146.730000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,La Honda,,,,
6,WD6INC,146.835000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,Daly City,,,,
7,KC6ULT,146.865000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,Redwood City,,,,
8,WA6TOW,146.925000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,"Pacifica, North Peak",,,,
9,WB6CKT,147.090000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,"Belmont, City Hall",,,,
10,WR6HMB,147.285000,+,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,Half Moon Bay,,,,
11,N6MPX,147.300000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,San Mateo,,,,
12,W6MTF,147.675000,+,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,Redwood City,,,,
