Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,
0,,146.010000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,K6SNY,145.170000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,Sunnyvale,,,,
3,WA2IBM,145.190000,-,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,,San Jose,,,,
4,KD6YYJ,145.210000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,San Jose,,,,
5,N6NFI,145.230000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,Palo Alto,,,,
6,NA6MF,145.250000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,"Sunnyvale, Moffett Field",,,,
7,W6ASH,145.270000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,"Mountain View, El Camino Hospital",,,,
8,K6GRC,145.310000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,Cupertino,,,,
9,KB6FEC,145.310000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,San Jose,,,,
10,WW6BAY,145.390000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,"Palo Alto, Black Mountain",,,,
11,W6MLP,145.430000,-,0.600000,Tone,85.4,88.5,023,NN,FM,5.00,,Milpitas,,,,
12,K6FB,145.450000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,"Los Gatos, Castle Rock",,,,
13,AA6BT,146.115000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,San Jose,,,,
14,KE6MON,146.355000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,San Jose,,,,
15,WR6ABD,146.640000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,"San Jose,  Loma Prieta",,,,
16,K6SA,146.655000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,Saratoga,,,,
17,W6LAH,146.745000,-,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,Los Altos Hills,,,,
18,WB6OQS,146.760000,-,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,,"San Jose, Loma Prieta",,,,
19,K6INC,146.820000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,San Jose,,,,
20,KB6FEC,146.895000,-,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,San Jose,,,,
21,K6AIR,146.940000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,Los Altos Hills,,,,
22,AD1U,146.970000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,San Jose,,,,
23,W6UU,146.985000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,"San Jose,  Eagle Rock",,,,
24,WA6DY,147.105000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,Sunnyvale,,,,
25,WA6YCZ,147.150000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,"San Jose, Mt Umunhum",,,,
26,KB6FEC,147.165000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,San Jose,,,,
27,KF6FWO,147.285000,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,San Jose,,,,
28,K7DAA,147.330000,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,Morgan Hill,,,,
29,W6TI,147.360000,+,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,"Palo Alto, Black Mountain",,,,
30,W6PIY,147.390000,+,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,,"San Jose, Good Samaritan Hosp",,,,
31,WG6LEE,147.675000,+,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,Saratoga,,,,
32,W6GGF,147.825000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,Morgan Hill,,,,
33,WA6TEM,147.855000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,San Jose,,,,
34,N6QDY,147.945000,-,0.600000,Tone,77.0,88.5,023,NN,FM,5.00,,Milpitas,,,,
