Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,
0,,146.010000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,W6UNI,145.170000,-,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,Watsonville,,,,
3,W6TUW,145.290000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,Watsonville,,,,
4,AC6P,145.310000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,Santa Cruz,,,,
5,W6DNC,145.330000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,Watsonville,,,,
6,KI6YDR,145.350000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,Boulder Creek,,,,
7,NS6G,146.700000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,Corralitos,,,,
8,W6JWS,146.745000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,"Felton, Empire Grade",,,,
9,KB6MET,146.775000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,Watsonville,,,,
10,K6BJ,146.790000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,Santa Cruz,,,,
11,AE6KE,146.835000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,Santa Cruz,,,,
12,W6NAD,146.955000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Watsonville,,,,
13,K6RMW,147.000000,+,0.600000,Tone,94.8,94.8,023,NN,FM,5.00,,"Watsonville, Hospital",,,,
14,WR6AOK,147.120000,+,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,Ben Lomond,,,,
15,W6WLS,147.180000,+,0.600000,Tone,94.8,94.8,023,NN,FM,5.00,,"Santa Cruz, Empire Grade",,,,
16,KI6EH,147.945000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,Watsonville,,,,
