Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,
0,W6PW,145.150000,-,0.600000,DTCS,88.5,88.5,664,NN,FM,5.00,,,,,,
10,W6AK,146.910000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
11,W7TA,147.150000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
50,W6SLG,145.310000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
51,SALI VL,442.750000,+,5.000000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
52,WB6ECE,441.300000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
53,S LOREN,147.120000,+,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
54,ST CRUZ,146.790000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
60,UCSC FD,154.130000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
61,UCSC PD,155.505000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
62,SC FD,154.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
63,SC PD,154.770000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
64,SC SHRF,155.565000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
90,NOAA SC,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
91,NOAA MY,162.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
92,NOAA SF,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
100,PX-CALL,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
101,,146.415000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
102,,146.430000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
103,,146.445000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
104,,146.460000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
105,,146.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
106,,146.490000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
107,,146.505000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
108,,146.535000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
109,,146.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
110,,146.565000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
111,,146.595000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
112,,147.405000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
113,,147.420000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
114,,147.435000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
115,,147.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
116,,147.465000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
117,,147.480000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
118,,147.495000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
119,,147.510000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
120,,147.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
121,,147.540000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
122,,147.555000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
123,,147.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
124,,147.585000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
127,,470.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
