Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,
0,PX-CALL,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,,146.415000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,,146.430000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,,146.445000,,0.000000,TSQL,88.5,88.5,023,NN,FM,5.00,,,,,,
4,,146.460000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,,146.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,,146.490000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,,146.505000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,,146.535000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,,146.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,,146.565000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,,146.595000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
12,,147.405000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,,147.420000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,,147.435000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,,147.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,,147.465000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,,147.480000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,,147.495000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,,147.510000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,,147.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,,147.540000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,,147.555000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
23,,147.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
24,,147.585000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
